,brand,title,price
0,rightchoice,Small 20 L Backpack (2235) BLACK SKY BLUE WHITE stylish tuff quality college school casual bag boy & girl,₹360
1,Gear,Small 20 L Laptop Backpack CLASSIC ANTI THEFT FAUX LEATHER,"₹1,071"
2,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹888
3,METRONAUT,Medium 30 L Laptop Backpack Khadi Textured Hi storage,₹499
4,WESLEY,Large 45 L Laptop Backpack Unisex Travel hiking laptop bag fits upto 17.3 inch with Raincover and internal organiser backpack Rucksack College bag,₹798
5,MTROCRAFT,Medium 30 L Laptop Backpack Walker Office Backpack,₹540
6,METRONAUT,Medium 30 L Laptop Backpack Khadi Textured Hi storage,₹499
7,Pramadda Pure Luxury,Small 15 L Backpack Casual Backpack Outdoor Tourister Daypack |bagpacks college for boys college bags boys | women bag | ladies bags | school bags for girls boys | travel bags.,₹398
8,MTROCRAFT,Large 40 L Laptop Backpack Walker Backapck Red,₹540
9,RUGZAK,Large 35 L Laptop Backpack Waterproof expandable laptop bags (Grey),₹472
10,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹888
11,Prolific,"Medium 25 L Laptop Backpack STYLISH-25 LTR BACKPACK LAPTOP BACKPACK FOR 14 INCH LAPTOP AND NYLON WATER RESISTANCE BACKPACK WITH USB CHARGING PORT, IDEAL FOR SCHOOL, COLLEGE, OFFICE AND TRAVEL",₹495
12,urban carrier,Large 45 L Laptop Backpack Medium 45 Liters Laptop Backpack Multicolor Grey White Laptop Backpack Unisex College & School Bags,₹549
13,MTROCRAFT,Medium 30 L Laptop Backpack Walker Office Backpack,₹540
14,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹888
15,Gear,Medium 28 L Backpack Scuba Backpack with Raincover,₹979
16,Gearcop,Medium 30 L Laptop Backpack GRCPB0071,₹399
17,Flycraft,Medium 30 L Laptop Backpack simn.1361/2,₹499
18,WESLEY,Large 45 L Laptop Backpack Spartan Unisex Travel Rucksack hiking laptop bag fits upto 17.3 inch with Raincover and internal organiser backpack Rucksack College bag Laptop Backpack,₹798
19,Gear,Large 32 L Laptop Backpack Climber Business laptop Backpack,"₹1,190"
20,capriff,Large 31 L Laptop Backpack navy blue backpack casual unisex school bag collage bag travel backpack bag laptop backpack bag (31 liters),₹499
21,LOUIS CARON,Large 35 L Laptop Backpack HiStorage,₹629
22,NorthZone,Medium 25 L Laptop Backpack 17 inch,₹499
23,Gear,Medium 27 L Backpack ECO 6 Backpack with Raincover,₹849
24,Mi,Small 12 L Backpack Step Out 12 liters Water Repellent Backpack,₹349
25,PROVOGUE,Large 35 L Laptop Backpack Spacy unisex backpack with rain cover and reflective strip,₹888
26,Arctic fox,Small 15 L Backpack Black Drawstring Bag,₹167
27,Gear,Medium 28 L Laptop Backpack VINTAGE2 ANTI THEFT FAUX LEATHER,"₹1,079"
28,ADAMSON,"Medium 22 L Laptop Backpack Casual college, tution bag",₹299
